Precinct,County,Registered Voters,M. L. Bud Owens (I) (Rep)_Election Day Votes,M. L. Bud Owens (I) (Rep)_Advanced Voting Votes,M. L. Bud Owens (I) (Rep)_Absentee by Mail Votes,M. L. Bud Owens (I) (Rep)_Provisional Votes,M. L. Bud Owens (I) (Rep)_Choice Total,Total,
Sugar Valley,Gordon,1471,433,366,108,1,908,908,
Plainville,Gordon,2044,542,476,161,3,1182,1182,
Sonoraville,Gordon,5380,1184,1744,455,1,3384,3384,
Pine Chapel,Gordon,1071,318,260,66,0,644,644,
Oostanaula,Gordon,667,227,126,79,0,432,432,
Oakman,Gordon,1439,448,255,97,0,800,800,
Gordon County,Gordon,6423,902,2052,549,1,3504,3504,
Calhoun City,Gordon,9532,1134,3045,914,2,5095,5095,
Lily Pond,Gordon,1914,369,604,167,0,1140,1140,
Fairmount,Gordon,1991,695,355,183,2,1235,1235,
Red Bud,Gordon,2965,658,950,184,1,1793,1793,
Resaca,Gordon,1532,410,342,119,0,871,871,
