Precinct,County,Registered Voters,Chuck Hufstetler (I) (Rep)_Election Day Votes,Chuck Hufstetler (I) (Rep)_Advanced Voting Votes,Chuck Hufstetler (I) (Rep)_Absentee by Mail Votes,Chuck Hufstetler (I) (Rep)_Provisional Votes,Chuck Hufstetler (I) (Rep)_Choice Total,Charles DeYoung (Dem)_Election Day Votes,Charles DeYoung (Dem)_Advanced Voting Votes,Charles DeYoung (Dem)_Absentee by Mail Votes,Charles DeYoung (Dem)_Provisional Votes,Charles DeYoung (Dem)_Choice Total,Total,
Sugar Valley,Gordon,1471,424,354,90,1,869,28,40,40,0,108,977,
Plainville,Gordon,2044,513,441,135,3,1092,56,62,61,0,179,1271,
Oostanaula,Gordon,667,212,110,67,0,389,25,29,30,0,84,473,
Gordon County,Gordon,6423,804,1866,466,2,3138,157,352,206,0,715,3853,
Calhoun City,Gordon,9532,913,2585,680,1,4179,342,746,472,1,1561,5740,
Lily Pond,Gordon,1914,356,573,151,0,1080,40,67,77,0,184,1264,
Resaca,Gordon,1532,13,18,5,0,36,18,25,10,0,53,89,
