Precinct,County,Registered Voters,Mitch Ralston (I) (Rep)_Election Day Votes,Mitch Ralston (I) (Rep)_Advanced Voting Votes,Mitch Ralston (I) (Rep)_Absentee by Mail Votes,Mitch Ralston (I) (Rep)_Provisional Votes,Mitch Ralston (I) (Rep)_Choice Total,Total,
Sugar Valley,Gordon,1471,424,355,109,1,889,889,
Plainville,Gordon,2044,550,476,160,3,1189,1189,
Sonoraville,Gordon,5380,1186,1750,460,1,3397,3397,
Pine Chapel,Gordon,1071,324,269,74,0,667,667,
Oostanaula,Gordon,667,224,128,80,0,432,432,
Oakman,Gordon,1439,448,258,98,0,804,804,
Gordon County,Gordon,6423,912,2061,568,1,3542,3542,
Calhoun City,Gordon,9532,1145,3061,922,2,5130,5130,
Lily Pond,Gordon,1914,375,607,178,0,1160,1160,
Fairmount,Gordon,1991,700,358,186,2,1246,1246,
Red Bud,Gordon,2965,671,950,192,0,1813,1813,
Resaca,Gordon,1532,417,344,124,1,886,886,
