Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Sugar Valley,Gordon,1471,427,356,92,1,876,29,40,37,0,106,14,5,1,0,20,1002,
Plainville,Gordon,2044,519,454,125,3,1101,62,64,67,0,193,12,8,4,0,24,1318,
Sonoraville,Gordon,5380,1118,1691,375,2,3186,129,204,146,0,479,39,29,14,0,82,3747,
Pine Chapel,Gordon,1071,318,257,57,0,632,20,26,34,0,80,7,4,3,0,14,726,
Oostanaula,Gordon,667,213,113,67,0,393,27,30,30,0,87,7,2,2,0,11,491,
Oakman,Gordon,1439,433,244,84,0,761,29,38,40,0,107,9,9,8,0,26,894,
Gordon County,Gordon,6423,816,1877,459,1,3153,161,363,214,0,738,22,45,17,1,85,3976,
Calhoun City,Gordon,9532,920,2600,651,1,4172,337,779,497,0,1613,52,76,26,1,155,5940,
Lily Pond,Gordon,1914,353,578,140,0,1071,43,72,79,0,194,12,19,9,0,40,1305,
Fairmount,Gordon,1991,668,346,158,2,1174,53,37,51,0,141,21,13,11,0,45,1360,
Red Bud,Gordon,2965,637,881,155,1,1674,81,147,92,0,320,14,23,7,0,44,2038,
Resaca,Gordon,1532,392,316,108,2,818,40,48,36,0,124,10,17,0,0,27,969,
