Precinct,County,Registered Voters,Pat Pollock (I) (Rep)_Election Day Votes,Pat Pollock (I) (Rep)_Advanced Voting Votes,Pat Pollock (I) (Rep)_Absentee by Mail Votes,Pat Pollock (I) (Rep)_Provisional Votes,Pat Pollock (I) (Rep)_Choice Total,Total,
Blowing Cave,Grady,916,193,318,54,5,570,570,
Cairo 4th District,Grady,2532,150,510,248,1,909,909,
Cairo 5th District,Grady,2606,241,845,274,2,1362,1362,
Duncanville,Grady,470,82,151,57,0,290,290,
Higdon,Grady,854,209,182,105,0,496,496,
Limesink,Grady,320,64,123,34,0,221,221,
Midway,Grady,1412,215,477,162,2,856,856,
Pine Park,Grady,1003,202,293,92,2,589,589,
Ragan,Grady,475,105,125,69,0,299,299,
Spence,Grady,758,222,201,80,0,503,503,
Spring Hill,Grady,561,124,218,61,0,403,403,
Whigham,Grady,1226,244,357,125,0,726,726,
Woodland,Grady,2309,326,973,240,0,1539,1539,
