Precinct,County,Registered Voters,Joe Mulholland (I) (Rep)_Election Day Votes,Joe Mulholland (I) (Rep)_Advanced Voting Votes,Joe Mulholland (I) (Rep)_Absentee by Mail Votes,Joe Mulholland (I) (Rep)_Provisional Votes,Joe Mulholland (I) (Rep)_Choice Total,Total,
Blowing Cave,Grady,916,188,308,52,5,553,553,
Cairo 4th District,Grady,2532,154,499,247,2,902,902,
Cairo 5th District,Grady,2606,240,831,266,3,1340,1340,
Duncanville,Grady,470,80,154,56,0,290,290,
Higdon,Grady,854,207,179,106,0,492,492,
Limesink,Grady,320,62,125,34,0,221,221,
Midway,Grady,1412,211,474,162,2,849,849,
Pine Park,Grady,1003,198,294,89,2,583,583,
Ragan,Grady,475,105,128,67,0,300,300,
Spence,Grady,758,219,197,74,0,490,490,
Spring Hill,Grady,561,124,212,61,0,397,397,
Whigham,Grady,1226,237,355,121,0,713,713,
Woodland,Grady,2309,323,953,236,0,1512,1512,
