Precinct,County,Registered Voters,Keith Moye (I) (Rep)_Election Day Votes,Keith Moye (I) (Rep)_Advanced Voting Votes,Keith Moye (I) (Rep)_Absentee by Mail Votes,Keith Moye (I) (Rep)_Provisional Votes,Keith Moye (I) (Rep)_Choice Total,Total,
Cairo 5th District,Grady,2606,10,12,8,2,32,32,
Duncanville,Grady,470,78,149,58,0,285,285,
Higdon,Grady,854,192,157,84,0,433,433,
Midway,Grady,1412,211,473,159,0,843,843,
Pine Park,Grady,1003,20,14,11,0,45,45,
Ragan,Grady,475,89,110,53,0,252,252,
