Precinct,County,Registered Voters,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_Choice Total,Total,
Blowing Cave,Grady,916,187,311,53,5,556,556,
Cairo 4th District,Grady,2532,147,464,205,1,817,817,
Cairo 5th District,Grady,2606,234,814,252,3,1303,1303,
Duncanville,Grady,470,80,151,53,0,284,284,
Higdon,Grady,854,210,181,103,0,494,494,
Limesink,Grady,320,63,124,32,0,219,219,
Midway,Grady,1412,208,464,160,2,834,834,
Pine Park,Grady,1003,197,285,82,2,566,566,
Ragan,Grady,475,102,127,64,0,293,293,
Spence,Grady,758,218,197,79,0,494,494,
Spring Hill,Grady,561,123,209,62,0,394,394,
Whigham,Grady,1226,236,351,114,0,701,701,
Woodland,Grady,2309,323,956,228,0,1507,1507,
