Precinct,County,Registered Voters,Marian S. Jackson (I) (Dem)_Election Day Votes,Marian S. Jackson (I) (Dem)_Advanced Voting Votes,Marian S. Jackson (I) (Dem)_Absentee by Mail Votes,Marian S. Jackson (I) (Dem)_Provisional Votes,Marian S. Jackson (I) (Dem)_Choice Total,Total,
Alexander,Burke,389,82,52,74,0,208,208,
Four Points,Burke,2558,426,541,250,0,1217,1217,
Girard,Burke,733,162,103,107,0,372,372,
Gough,Burke,434,83,76,101,0,260,260,
Greenscut,Burke,1036,187,235,120,0,542,542,
Keysville,Burke,476,127,34,39,0,200,200,
Midville,Burke,492,150,37,68,0,255,255,
Munnerlyn,Burke,299,60,63,31,0,154,154,
Sardis,Burke,1049,272,161,88,0,521,521,
Scotts Crossroads,Burke,294,61,51,49,0,161,161,
Telfair,Burke,1121,169,235,149,0,553,553,
St Clair,Burke,442,84,98,75,0,257,257,
Vidette,Burke,313,79,33,48,0,160,160,
North Waynesboro,Burke,2949,320,708,528,0,1556,1556,
South Waynesboro,Burke,3290,366,1105,425,0,1896,1896,
Blakeney,Burke,681,92,176,68,0,336,336,
