Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Alexander,Burke,389,84,60,15,0,159,25,17,62,0,104,2,3,1,0,6,269,
Four Points,Burke,2558,451,490,139,0,1080,125,217,139,0,481,7,9,9,0,25,1586,
Girard,Burke,733,110,80,39,0,229,90,54,83,0,227,6,3,0,0,9,465,
Gough,Burke,434,36,61,16,0,113,50,40,99,0,189,7,0,0,0,7,309,
Greenscut,Burke,1036,144,220,38,0,402,80,92,89,0,261,6,6,2,0,14,677,
Keysville,Burke,476,58,41,12,0,111,100,12,29,0,141,5,0,2,0,7,259,
Midville,Burke,492,95,21,13,0,129,84,24,60,0,168,3,0,2,0,5,302,
Munnerlyn,Burke,299,62,48,2,0,112,23,27,30,0,80,1,1,2,0,4,196,
Sardis,Burke,1049,211,123,57,0,391,128,70,46,0,244,2,4,0,0,6,641,
Scotts Crossroads,Burke,294,43,19,5,0,67,37,38,46,0,121,0,1,0,0,1,189,
Telfair,Burke,1121,150,169,53,0,372,69,124,113,0,306,3,5,3,0,11,689,
St Clair,Burke,442,67,81,23,0,171,40,39,61,0,140,3,1,0,0,4,315,
Vidette,Burke,313,72,23,8,0,103,43,17,43,0,103,2,0,2,0,4,210,
North Waynesboro,Burke,2949,87,338,75,0,500,277,486,476,0,1239,6,10,8,0,24,1763,
South Waynesboro,Burke,3290,226,919,158,0,1303,209,440,306,0,955,9,15,11,0,35,2293,
Blakeney,Burke,681,38,117,10,0,165,68,93,69,0,230,1,0,1,0,2,397,
