Precinct,County,Registered Voters,Tyler Harper (I) (Rep)_Election Day Votes,Tyler Harper (I) (Rep)_Advanced Voting Votes,Tyler Harper (I) (Rep)_Absentee by Mail Votes,Tyler Harper (I) (Rep)_Provisional Votes,Tyler Harper (I) (Rep)_Choice Total,Total,
Douglas,Coffee,17243,1353,5448,865,2,7668,7668,
Ambrose,Coffee,2053,387,684,103,0,1174,1174,
Bridgetown,Coffee,344,124,67,13,0,204,204,
Broxton,Coffee,2398,384,814,91,2,1291,1291,
Nicholls,Coffee,2115,396,532,90,3,1021,1021,
West Green,Coffee,961,304,245,54,0,603,603,
