Precinct,County,Registered Voters,Adam H. Evans (I) (Rep)_Election Day Votes,Adam H. Evans (I) (Rep)_Advanced Voting Votes,Adam H. Evans (I) (Rep)_Absentee by Mail Votes,Adam H. Evans (I) (Rep)_Provisional Votes,Adam H. Evans (I) (Rep)_Choice Total,Total,
Douglas,Coffee,17243,1409,5596,972,2,7979,7979,
Ambrose,Coffee,2053,390,675,110,1,1176,1176,
Bridgetown,Coffee,344,126,67,12,0,205,205,
Broxton,Coffee,2398,387,815,108,3,1313,1313,
Nicholls,Coffee,2115,394,540,98,3,1035,1035,
West Green,Coffee,961,298,240,50,0,588,588,
