Precinct,County,Registered Voters,Ted Osteen (I) (Rep)_Election Day Votes,Ted Osteen (I) (Rep)_Advanced Voting Votes,Ted Osteen (I) (Rep)_Absentee by Mail Votes,Ted Osteen (I) (Rep)_Provisional Votes,Ted Osteen (I) (Rep)_Choice Total,Total,
Douglas,Coffee,17243,50,230,39,0,319,319,
Ambrose,Coffee,2053,392,669,111,0,1172,1172,
Bridgetown,Coffee,344,127,64,13,0,204,204,
Broxton,Coffee,2398,345,612,82,1,1040,1040,
West Green,Coffee,961,32,29,10,0,71,71,
