Precinct,County,Registered Voters,Ranee F. Gregory (I) (Rep)_Election Day Votes,Ranee F. Gregory (I) (Rep)_Advanced Voting Votes,Ranee F. Gregory (I) (Rep)_Absentee by Mail Votes,Ranee F. Gregory (I) (Rep)_Provisional Votes,Ranee F. Gregory (I) (Rep)_Choice Total,Total,
Ashburn,Turner,3509,324,1206,266,1,1797,1797,
Sycamore,Turner,1609,144,860,94,1,1099,1099,
Rebecca,Turner,464,124,154,31,0,309,309,
