Precinct,County,Registered Voters,Brad Calhoun (I) (Rep)_Election Day Votes,Brad Calhoun (I) (Rep)_Advanced Voting Votes,Brad Calhoun (I) (Rep)_Absentee by Mail Votes,Brad Calhoun (I) (Rep)_Provisional Votes,Brad Calhoun (I) (Rep)_Choice Total,Total,
Ashburn,Turner,3509,41,215,21,1,278,278,
Sycamore,Turner,1609,12,108,17,0,137,137,
Rebecca,Turner,464,122,150,28,0,300,300,
