Precinct,County,Registered Voters,Edgar_Election Day Votes,Edgar_Advanced Voting Votes,Edgar_Absentee by Mail Votes,Edgar_Provisional Votes,Edgar_Choice Total,Total,
Ashburn,Turner,3509,339,1216,269,0,1824,1824,
Sycamore,Turner,1609,144,859,94,1,1098,1098,
Rebecca,Turner,464,124,157,31,0,312,312,
