Precinct,County,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total,
Blowing Cave,Grady,916,165,274,42,2,483,32,66,26,4,128,611,
Cairo 4th District,Grady,2532,38,171,69,0,278,204,701,365,3,1273,1551,
Cairo 5th District,Grady,2606,148,608,171,1,928,127,435,208,3,773,1701,
Duncanville,Grady,470,76,126,35,0,237,13,53,54,0,120,357,
Higdon,Grady,854,165,154,72,0,391,70,65,87,0,222,613,
Limesink,Grady,320,59,108,23,0,190,6,23,22,0,51,241,
Midway,Grady,1412,190,417,132,2,741,43,117,81,0,241,982,
Pine Park,Grady,1003,144,225,57,2,428,71,117,52,0,240,668,
Ragan,Grady,475,94,99,42,0,235,20,54,45,0,119,354,
Spence,Grady,758,194,174,64,0,432,33,33,30,0,96,528,
Spring Hill,Grady,561,107,194,46,0,347,20,28,28,0,76,423,
Whigham,Grady,1226,206,297,82,0,585,55,112,62,0,229,814,
Woodland,Grady,2309,282,848,182,0,1312,64,184,111,0,359,1671,
