Precinct,County,Registered Voters,Lee A. Dixon (Rep)_Election Day Votes,Lee A. Dixon (Rep)_Advanced Voting Votes,Lee A. Dixon (Rep)_Absentee by Mail Votes,Lee A. Dixon (Rep)_Provisional Votes,Lee A. Dixon (Rep)_Choice Total,Total,
FBC-FLC,Laurens,4180,451,1443,626,1,2521,2521,
Calhoun Park,Laurens,6053,515,918,601,0,2034,2034,
Fire Dept Sta 5,Laurens,3672,608,1403,462,0,2473,2473,
Buckeye,Laurens,1047,250,170,100,1,521,521,
Burch,Laurens,422,176,51,53,0,280,280,
Cadwell,Laurens,749,307,140,55,1,503,503,
Brewton,Laurens,1739,497,383,135,1,1016,1016,
Dudley,Laurens,1121,373,341,132,0,846,846,
Hampton Mill,Laurens,1772,689,396,177,0,1262,1262,
Harvard,Laurens,406,127,55,28,0,210,210,
Minter,Laurens,937,362,188,95,1,646,646,
Rural Fire Sta 17,Laurens,2344,539,593,230,0,1362,1362,
W T Adams Fire Sta 18,Laurens,2090,456,736,270,0,1462,1462,
Reedy Springs,Laurens,894,411,156,58,0,625,625,
Smith,Laurens,3374,545,662,293,0,1500,1500,
LCFS 10 Valambrosia,Laurens,2080,366,526,222,0,1114,1114,
