Precinct,County,Registered Voters,Park Cannon (I) (Dem)_Election Day Votes,Park Cannon (I) (Dem)_Advanced Voting Votes,Park Cannon (I) (Dem)_Absentee by Mail Votes,Park Cannon (I) (Dem)_Provisional Votes,Park Cannon (I) (Dem)_Choice Total,Total,
01D,Fulton,754,25,279,111,7,422,422,
01F,Fulton,1593,118,255,104,6,483,483,
01H,Fulton,896,65,202,116,2,385,385,
01I,Fulton,1,0,1,0,0,1,1,
02C,Fulton,2034,83,707,382,19,1191,1191,
02D,Fulton,5539,277,1955,1055,17,3304,3304,
02F2,Fulton,851,47,265,132,3,447,447,
02G,Fulton,3895,205,1641,736,4,2586,2586,
02J,Fulton,2273,101,890,424,9,1424,1424,
02K,Fulton,1461,47,610,282,0,939,939,
02S,Fulton,790,44,283,134,0,461,461,
04M,Fulton,979,102,148,67,2,319,319,
05A1,Fulton,2936,135,1272,604,1,2012,2012,
05B,Fulton,2171,172,610,258,0,1040,1040,
05C,Fulton,135,7,27,8,0,42,42,
05F,Fulton,248,22,86,25,0,133,133,
05J,Fulton,684,37,272,120,0,429,429,
05K,Fulton,2826,150,714,275,1,1140,1140,
06B,Fulton,1889,91,777,378,6,1252,1252,
06F,Fulton,2841,114,1155,505,4,1778,1778,
06G,Fulton,588,19,218,120,1,358,358,
11G,Fulton,2556,116,458,302,17,893,893,
11K,Fulton,2045,135,601,360,3,1099,1099,
11R,Fulton,2253,119,441,223,6,789,789,
12A,Fulton,4971,285,1619,732,21,2657,2657,
12A1,Fulton,690,41,299,20,8,368,368,
12I,Fulton,1079,53,220,137,35,445,445,
12L,Fulton,774,54,136,66,2,258,258,
12N,Fulton,1134,91,218,83,9,401,401,
12S,Fulton,2079,163,564,235,3,965,965,
