Precinct,County,Registered Voters,"William K. Boddie, Jr. (I) (Dem)_Election Day Votes","William K. Boddie, Jr. (I) (Dem)_Advanced Voting Votes","William K. Boddie, Jr. (I) (Dem)_Absentee by Mail Votes","William K. Boddie, Jr. (I) (Dem)_Provisional Votes","William K. Boddie, Jr. (I) (Dem)_Choice Total",Total,
CP011,Fulton,1353,90,400,156,8,654,654,
CP012,Fulton,1469,82,528,209,5,824,824,
EP03B,Fulton,1547,77,593,340,4,1014,1014,
EP04A,Fulton,5020,532,1315,659,17,2523,2523,
EP04B,Fulton,2624,148,1063,270,4,1485,1485,
EP04C,Fulton,1318,0,396,39,4,439,439,
SC05B,Fulton,3646,182,1762,490,7,2441,2441,
SC05D,Fulton,2808,181,1284,359,2,1826,1826,
SC05E,Fulton,688,43,253,133,3,432,432,
SC08C,Fulton,91,6,45,17,0,68,68,
SC15,Fulton,4522,274,1982,820,6,3082,3082,
SC15A,Fulton,2482,136,1288,105,0,1529,1529,
SC17A,Fulton,60,1,32,9,0,42,42,
SC18B,Fulton,915,41,461,160,0,662,662,
SC18C,Fulton,2100,78,1000,409,0,1487,1487,
SC19A,Fulton,213,6,84,43,1,134,134,
SC20,Fulton,2562,110,1459,361,27,1957,1957,
UC01E,Fulton,512,42,267,71,0,380,380,
UC02B,Fulton,32,2,11,3,0,16,16,
UC02C,Fulton,3614,0,6,0,1,7,7,
