Precinct,County,Registered Voters,Phinia Aten (I) (Dem)_Election Day Votes,Phinia Aten (I) (Dem)_Advanced Voting Votes,Phinia Aten (I) (Dem)_Absentee by Mail Votes,Phinia Aten (I) (Dem)_Provisional Votes,Phinia Aten (I) (Dem)_Choice Total,Total,
BA,Rockdale,4803,364,1610,763,1,2738,2738,
BT,Rockdale,4007,359,848,454,2,1663,1663,
CO,Rockdale,3862,340,1061,467,3,1871,1871,
FI,Rockdale,6328,414,2324,1166,0,3904,3904,
FS,Rockdale,4038,254,1382,699,0,2335,2335,
HC,Rockdale,2411,179,713,346,0,1238,1238,
HI,Rockdale,3515,223,1132,543,0,1898,1898,
LA,Rockdale,2001,166,463,363,0,992,992,
LO,Rockdale,3943,365,1223,646,0,2234,2234,
MA,Rockdale,3180,280,908,457,1,1646,1646,
MI,Rockdale,4226,311,1331,618,4,2264,2264,
OT,Rockdale,6135,428,1933,900,4,3265,3265,
RO,Rockdale,4633,313,1572,702,1,2588,2588,
SM,Rockdale,4308,251,1608,726,4,2589,2589,
SP,Rockdale,4781,318,1814,751,1,2884,2884,
ST,Rockdale,3334,186,1066,524,3,1779,1779,
