Precinct,County,Registered Voters,Tisa Smart-Washington (I) (Dem)_Election Day Votes,Tisa Smart-Washington (I) (Dem)_Advanced Voting Votes,Tisa Smart-Washington (I) (Dem)_Absentee by Mail Votes,Tisa Smart-Washington (I) (Dem)_Provisional Votes,Tisa Smart-Washington (I) (Dem)_Choice Total,Total,
BA,Rockdale,4803,371,1633,771,1,2776,2776,
BT,Rockdale,4007,369,866,465,3,1703,1703,
CO,Rockdale,3862,341,1074,484,2,1901,1901,
FI,Rockdale,6328,410,2324,1166,0,3900,3900,
FS,Rockdale,4038,255,1386,710,0,2351,2351,
HC,Rockdale,2411,183,727,358,0,1268,1268,
HI,Rockdale,3515,227,1131,553,0,1911,1911,
LA,Rockdale,2001,164,465,380,0,1009,1009,
LO,Rockdale,3943,374,1239,666,0,2279,2279,
MA,Rockdale,3180,285,934,460,1,1680,1680,
MI,Rockdale,4226,306,1349,636,3,2294,2294,
OT,Rockdale,6135,423,1951,918,4,3296,3296,
RO,Rockdale,4633,323,1589,722,1,2635,2635,
SM,Rockdale,4308,251,1641,729,4,2625,2625,
SP,Rockdale,4781,325,1841,767,1,2934,2934,
ST,Rockdale,3334,196,1084,546,3,1829,1829,
