Precinct,County,Registered Voters,Tom Kirby (I) (Rep)_Election Day Votes,Tom Kirby (I) (Rep)_Advanced Voting Votes,Tom Kirby (I) (Rep)_Absentee by Mail Votes,Tom Kirby (I) (Rep)_Provisional Votes,Tom Kirby (I) (Rep)_Choice Total,Total,
BT,Rockdale,4007,284,394,135,0,813,813,
HI,Rockdale,3515,143,625,220,0,988,988,
OT,Rockdale,6135,23,76,11,0,110,110,
