Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
BA,Rockdale,4803,353,1409,669,1,2432,118,582,231,0,931,3363,
BT,Rockdale,4007,395,887,472,3,1757,192,423,186,2,803,2560,
CO,Rockdale,3862,293,862,370,4,1529,93,295,158,0,546,2075,
FI,Rockdale,6328,348,1888,899,0,3135,95,576,336,0,1007,4142,
FS,Rockdale,4038,218,1148,587,0,1953,80,396,215,0,691,2644,
HC,Rockdale,2411,197,692,307,0,1196,53,276,136,0,465,1661,
HI,Rockdale,3515,220,1023,447,0,1690,55,397,178,0,630,2320,
LA,Rockdale,2001,141,402,269,0,812,55,152,154,0,361,1173,
LO,Rockdale,3943,375,1122,587,0,2084,177,420,207,1,805,2889,
MA,Rockdale,3180,274,883,412,1,1570,109,307,148,0,564,2134,
MI,Rockdale,4226,269,1144,504,2,1919,81,357,169,2,609,2528,
OT,Rockdale,6135,367,1589,688,4,2648,95,482,299,0,876,3524,
RO,Rockdale,4633,305,1392,577,1,2275,66,445,250,0,761,3036,
SM,Rockdale,4308,220,1377,598,4,2199,69,475,215,1,760,2959,
SP,Rockdale,4781,296,1535,643,1,2475,66,514,191,1,772,3247,
ST,Rockdale,3334,172,977,495,1,1645,78,394,176,3,651,2296,
