Precinct,County,Registered Voters,Burt Jones (I) (Rep)_Election Day Votes,Burt Jones (I) (Rep)_Advanced Voting Votes,Burt Jones (I) (Rep)_Absentee by Mail Votes,Burt Jones (I) (Rep)_Provisional Votes,Burt Jones (I) (Rep)_Choice Total,Veronica Brinson (Dem)_Election Day Votes,Veronica Brinson (Dem)_Advanced Voting Votes,Veronica Brinson (Dem)_Absentee by Mail Votes,Veronica Brinson (Dem)_Provisional Votes,Veronica Brinson (Dem)_Choice Total,Total,
Northeast Morgan,Morgan,2919,105,744,139,0,988,151,613,346,1,1111,2099,
East Morgan,Morgan,2228,428,869,147,2,1446,56,197,105,0,358,1804,
Beth/Springfield,Morgan,862,146,337,73,0,556,25,45,61,0,131,687,
Central Morgan,Morgan,2761,210,1144,228,0,1582,82,294,175,0,551,2133,
Clacks Chapel,Morgan,709,133,330,41,0,504,12,42,33,0,87,591,
West Morgan,Morgan,2655,411,1131,166,0,1708,78,202,100,0,380,2088,
North Morgan,Morgan,2690,463,937,213,1,1614,68,237,128,1,434,2048,
