Precinct,County,Registered Voters,Carter Brown (I) (Rep)_Election Day Votes,Carter Brown (I) (Rep)_Advanced Voting Votes,Carter Brown (I) (Rep)_Absentee by Mail Votes,Carter Brown (I) (Rep)_Provisional Votes,Carter Brown (I) (Rep)_Choice Total,Total,
La Fayette,Walker,6547,777,2199,712,1,3689,3689,
Walnut Grove,Walker,2212,446,787,205,0,1438,1438,
Rock Spring,Walker,6275,699,2737,635,0,4071,4071,
Armuchee Valley,Walker,1453,566,252,113,0,931,931,
Mountain,Walker,1254,402,244,130,1,777,777,
Chattanooga Valley,Walker,6325,902,2261,733,2,3898,3898,
Kensington,Walker,1347,371,340,118,2,831,831,
Rossville,Walker,6255,589,1898,591,1,3079,3079,
Chickamauga,Walker,6890,666,2967,727,1,4361,4361,
Fairyland,Walker,1265,175,487,104,0,766,766,
Fairview,Walker,3101,417,880,301,1,1599,1599,
