Precinct,County,Registered Voters,Chris A. Arnt (Rep)_Election Day Votes,Chris A. Arnt (Rep)_Advanced Voting Votes,Chris A. Arnt (Rep)_Absentee by Mail Votes,Chris A. Arnt (Rep)_Provisional Votes,Chris A. Arnt (Rep)_Choice Total,Total,
La Fayette,Walker,6547,778,2169,688,1,3636,3636,
Walnut Grove,Walker,2212,444,786,191,0,1421,1421,
Rock Spring,Walker,6275,693,2703,632,0,4028,4028,
Armuchee Valley,Walker,1453,563,254,108,0,925,925,
Mountain,Walker,1254,399,244,133,1,777,777,
Chattanooga Valley,Walker,6325,892,2244,720,2,3858,3858,
Kensington,Walker,1347,374,338,112,1,825,825,
Rossville,Walker,6255,591,1891,587,1,3070,3070,
Chickamauga,Walker,6890,664,2944,722,1,4331,4331,
Fairyland,Walker,1265,175,490,103,0,768,768,
Fairview,Walker,3101,416,879,292,1,1588,1588,
