Precinct,County,Registered Voters,Christy Johnson Anderson (I) (Rep)_Election Day Votes,Christy Johnson Anderson (I) (Rep)_Advanced Voting Votes,Christy Johnson Anderson (I) (Rep)_Absentee by Mail Votes,Christy Johnson Anderson (I) (Rep)_Provisional Votes,Christy Johnson Anderson (I) (Rep)_Choice Total,Total,
La Fayette,Walker,6547,786,2219,708,1,3714,3714,
Walnut Grove,Walker,2212,447,800,205,0,1452,1452,
Rock Spring,Walker,6275,700,2731,646,0,4077,4077,
Armuchee Valley,Walker,1453,566,250,109,0,925,925,
Mountain,Walker,1254,398,237,128,1,764,764,
Chattanooga Valley,Walker,6325,886,2261,725,2,3874,3874,
Kensington,Walker,1347,372,340,120,2,834,834,
Rossville,Walker,6255,593,1887,590,1,3071,3071,
Chickamauga,Walker,6890,665,2955,736,1,4357,4357,
Fairyland,Walker,1265,174,492,105,0,771,771,
Fairview,Walker,3101,414,883,298,1,1596,1596,
