Precinct,County,Registered Voters,Steve Tarvin (I) (Rep)_Election Day Votes,Steve Tarvin (I) (Rep)_Advanced Voting Votes,Steve Tarvin (I) (Rep)_Absentee by Mail Votes,Steve Tarvin (I) (Rep)_Provisional Votes,Steve Tarvin (I) (Rep)_Choice Total,Total,
La Fayette,Walker,6547,777,2158,679,1,3615,3615,
Walnut Grove,Walker,2212,270,481,104,0,855,855,
Rock Spring,Walker,6275,695,2693,617,0,4005,4005,
Armuchee Valley,Walker,1453,576,251,102,0,929,929,
Chickamauga,Walker,6890,454,1907,438,1,2800,2800,
