Precinct,County,Registered Voters,Freddie Ashmon (Dem)_Election Day Votes,Freddie Ashmon (Dem)_Advanced Voting Votes,Freddie Ashmon (Dem)_Absentee by Mail Votes,Freddie Ashmon (Dem)_Provisional Votes,Freddie Ashmon (Dem)_Choice Total,Total,
Ideal,Macon,1399,142,317,80,0,539,539,
Oglethorpe,Macon,1294,99,371,105,0,575,575,
Marshallville,Macon,1344,252,264,125,0,641,641,
Montezuma #4,Macon,1597,145,426,203,0,774,774,
Montezuma #5,Macon,1357,164,346,179,0,689,689,
