Precinct,County,Registered Voters,Patty Bentley (I) (Dem)_Election Day Votes,Patty Bentley (I) (Dem)_Advanced Voting Votes,Patty Bentley (I) (Dem)_Absentee by Mail Votes,Patty Bentley (I) (Dem)_Provisional Votes,Patty Bentley (I) (Dem)_Choice Total,Total,
Ideal,Macon,1399,157,389,95,0,641,641,
Oglethorpe,Macon,1294,113,444,112,0,669,669,
Marshallville,Macon,1344,270,275,134,0,679,679,
Montezuma #4,Macon,1597,156,487,212,0,855,855,
Montezuma #5,Macon,1357,163,370,190,0,723,723,
