Precinct,County,Registered Voters,Ed Harbison (I) (Dem)_Election Day Votes,Ed Harbison (I) (Dem)_Advanced Voting Votes,Ed Harbison (I) (Dem)_Absentee by Mail Votes,Ed Harbison (I) (Dem)_Provisional Votes,Ed Harbison (I) (Dem)_Choice Total,Total,
Ideal,Macon,1399,138,334,89,0,561,561,
Oglethorpe,Macon,1294,103,406,104,0,613,613,
Marshallville,Macon,1344,244,259,124,0,627,627,
Montezuma #4,Macon,1597,144,451,209,0,804,804,
Montezuma #5,Macon,1357,161,351,171,0,683,683,
