Precinct,County,Registered Voters,Sheldon T. Mattox (I) (Rep)_Election Day Votes,Sheldon T. Mattox (I) (Rep)_Advanced Voting Votes,Sheldon T. Mattox (I) (Rep)_Absentee by Mail Votes,Sheldon T. Mattox (I) (Rep)_Provisional Votes,Sheldon T. Mattox (I) (Rep)_Choice Total,Total,
District 1A,Crawford,516,87,127,49,0,263,263,
District 1B,Crawford,1025,82,346,99,1,528,528,
District 2,Crawford,1659,164,627,189,1,981,981,
District 3,Crawford,1738,214,749,147,0,1110,1110,
District 4,Crawford,1805,372,655,188,0,1215,1215,
District 5,Crawford,1769,380,619,170,0,1169,1169,
