Precinct,County,Registered Voters,Robert Dickey (I) (Rep)_Election Day Votes,Robert Dickey (I) (Rep)_Advanced Voting Votes,Robert Dickey (I) (Rep)_Absentee by Mail Votes,Robert Dickey (I) (Rep)_Provisional Votes,Robert Dickey (I) (Rep)_Choice Total,Total,
District 1A,Crawford,516,87,128,46,0,261,261,
District 1B,Crawford,1025,87,340,90,1,518,518,
District 2,Crawford,1659,171,614,176,1,962,962,
District 3,Crawford,1738,215,756,145,0,1116,1116,
District 4,Crawford,1805,378,654,184,0,1216,1216,
District 5,Crawford,1769,377,622,164,0,1163,1163,
