Precinct,County,Registered Voters,Lewis S. Walker (I) (Ind)_Election Day Votes,Lewis S. Walker (I) (Ind)_Advanced Voting Votes,Lewis S. Walker (I) (Ind)_Absentee by Mail Votes,Lewis S. Walker (I) (Ind)_Provisional Votes,Lewis S. Walker (I) (Ind)_Choice Total,Total,
District 1A,Crawford,516,97,143,53,0,293,293,
District 1B,Crawford,1025,94,423,132,1,650,650,
District 2,Crawford,1659,169,687,261,1,1118,1118,
District 3,Crawford,1738,211,740,165,0,1116,1116,
District 4,Crawford,1805,354,621,189,0,1164,1164,
District 5,Crawford,1769,342,589,172,0,1103,1103,
