Precinct,County,Registered Voters,John F. Kennedy (I) (Rep)_Election Day Votes,John F. Kennedy (I) (Rep)_Advanced Voting Votes,John F. Kennedy (I) (Rep)_Absentee by Mail Votes,John F. Kennedy (I) (Rep)_Provisional Votes,John F. Kennedy (I) (Rep)_Choice Total,Total,
District 1A,Crawford,516,84,121,40,0,245,245,
District 1B,Crawford,1025,82,316,85,1,484,484,
District 2,Crawford,1659,160,601,166,1,928,928,
District 3,Crawford,1738,214,743,136,0,1093,1093,
District 4,Crawford,1805,379,637,183,0,1199,1199,
District 5,Crawford,1769,377,616,165,0,1158,1158,
