Precinct,County,Registered Voters,"William D. Martin, IV_Election Day Votes","William D. Martin, IV_Advanced Voting Votes","William D. Martin, IV_Absentee by Mail Votes","William D. Martin, IV_Provisional Votes","William D. Martin, IV_Choice Total",Total,
District 1A,Crawford,516,83,121,49,0,253,253,
District 1B,Crawford,1025,80,323,90,0,493,493,
District 2,Crawford,1659,152,581,205,1,939,939,
District 3,Crawford,1738,197,678,114,0,989,989,
District 4,Crawford,1805,321,559,171,0,1051,1051,
District 5,Crawford,1769,335,541,157,0,1033,1033,
