Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
District 1A,Crawford,516,58,96,23,0,177,41,49,40,0,130,3,3,3,0,9,316,
District 1B,Crawford,1025,41,206,33,1,281,49,227,109,0,385,3,7,7,0,17,683,
District 2,Crawford,1659,118,445,96,0,659,56,255,175,1,487,8,16,7,0,31,1177,
District 3,Crawford,1738,186,695,110,0,991,29,86,54,0,169,10,16,4,0,30,1190,
District 4,Crawford,1805,347,589,149,0,1085,27,68,50,0,145,10,12,4,0,26,1256,
District 5,Crawford,1769,342,565,114,0,1021,34,76,64,0,174,13,8,8,0,29,1224,
