Precinct,County,Registered Voters,Virginia G. Kendrick (I) (Dem)_Election Day Votes,Virginia G. Kendrick (I) (Dem)_Advanced Voting Votes,Virginia G. Kendrick (I) (Dem)_Absentee by Mail Votes,Virginia G. Kendrick (I) (Dem)_Provisional Votes,Virginia G. Kendrick (I) (Dem)_Choice Total,Total,
Devereux Fire Station,Hancock,1006,112,259,198,0,569,569,
St Mark,Hancock,576,84,144,80,0,308,308,
Courthouse,Hancock,931,98,232,157,1,488,488,
Second Beulah,Hancock,472,60,122,124,0,306,306,
Mayfield Community Center,Hancock,356,61,47,82,0,190,190,
Power of God,Hancock,731,94,155,127,0,376,376,
Warren Chapel,Hancock,268,22,71,64,0,157,157,
Youth Center,Hancock,975,101,218,203,0,522,522,
Second Darrien,Hancock,364,68,65,107,0,240,240,
Sparta 4C,Hancock,148,19,23,53,0,95,95,
