Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
Devereux Fire Station,Hancock,1006,82,226,83,0,391,72,132,156,1,361,5,6,6,0,17,769,
St Mark,Hancock,576,13,41,11,0,65,77,129,84,0,290,1,2,0,0,3,358,
Courthouse,Hancock,931,22,95,21,0,138,87,192,158,1,438,4,4,5,0,13,589,
Second Beulah,Hancock,472,11,22,10,0,43,54,116,135,0,305,2,1,1,0,4,352,
Mayfield Community Center,Hancock,356,14,15,5,0,34,54,45,85,0,184,1,1,4,0,6,224,
Power of God,Hancock,731,14,53,23,0,90,89,135,125,1,350,8,4,4,0,16,456,
Warren Chapel,Hancock,268,28,70,34,0,132,2,30,48,0,80,0,1,1,0,2,214,
Youth Center,Hancock,975,27,57,25,0,109,90,206,221,0,517,1,8,1,0,10,636,
Second Darrien,Hancock,364,41,28,23,0,92,41,49,94,0,184,2,1,1,0,4,280,
Sparta 4C,Hancock,148,14,6,5,0,25,11,21,51,0,83,1,0,0,0,1,109,
