Precinct,County,Registered Voters,Sabrina M. Lamar (I) (Dem)_Election Day Votes,Sabrina M. Lamar (I) (Dem)_Advanced Voting Votes,Sabrina M. Lamar (I) (Dem)_Absentee by Mail Votes,Sabrina M. Lamar (I) (Dem)_Provisional Votes,Sabrina M. Lamar (I) (Dem)_Choice Total,Total,
Devereux Fire Station,Hancock,1006,111,256,190,0,557,557,
St Mark,Hancock,576,85,151,81,0,317,317,
Courthouse,Hancock,931,103,237,162,1,503,503,
Second Beulah,Hancock,472,61,124,128,0,313,313,
Mayfield Community Center,Hancock,356,59,50,81,0,190,190,
Power of God,Hancock,731,95,159,129,1,384,384,
Warren Chapel,Hancock,268,22,66,60,0,148,148,
Youth Center,Hancock,975,98,220,205,0,523,523,
Second Darrien,Hancock,364,68,61,102,0,231,231,
Sparta 4C,Hancock,148,16,20,53,0,89,89,
