Precinct,County,Registered Voters,Randolph Clayton (I) (Dem)_Election Day Votes,Randolph Clayton (I) (Dem)_Advanced Voting Votes,Randolph Clayton (I) (Dem)_Absentee by Mail Votes,Randolph Clayton (I) (Dem)_Provisional Votes,Randolph Clayton (I) (Dem)_Choice Total,Total,
Youth Center,Hancock,975,101,223,196,0,520,520,
Second Darrien,Hancock,364,66,64,93,0,223,223,
Sparta 4C,Hancock,148,18,19,53,0,90,90,
