Precinct,County,Registered Voters,Tommy Lee (I) (Rep)_Election Day Votes,Tommy Lee (I) (Rep)_Advanced Voting Votes,Tommy Lee (I) (Rep)_Absentee by Mail Votes,Tommy Lee (I) (Rep)_Provisional Votes,Tommy Lee (I) (Rep)_Choice Total,Total,
Sandhill,Carroll,4459,139,484,101,0,724,724,
Center Point,Carroll,1775,296,417,105,0,818,818,
Bethany,Carroll,4779,17,80,13,0,110,110,
V R County South,Carroll,2942,213,675,164,0,1052,1052,
V R County North,Carroll,5472,209,570,164,0,943,943,
Villa Rica City,Carroll,7250,2,0,0,0,2,2,
Temple County,Carroll,4354,702,1368,318,0,2388,2388,
Temple City,Carroll,3700,650,1021,255,2,1928,1928,
Burson Center,Carroll,1466,31,166,29,0,226,226,
