Precinct,County,Registered Voters,Michael D. Crawford (I) (Rep)_Election Day Votes,Michael D. Crawford (I) (Rep)_Advanced Voting Votes,Michael D. Crawford (I) (Rep)_Absentee by Mail Votes,Michael D. Crawford (I) (Rep)_Provisional Votes,Michael D. Crawford (I) (Rep)_Choice Total,Total,
Kansas,Carroll,1165,443,269,93,0,805,805,
Bowdon,Carroll,3289,693,759,284,1,1737,1737,
Sandhill,Carroll,4459,569,1539,328,3,2439,2439,
Center Point,Carroll,1775,466,629,158,0,1253,1253,
Mt Zion,Carroll,2641,665,722,210,0,1597,1597,
Burwell,Carroll,1564,415,419,146,2,982,982,
Clem,Carroll,3695,509,1537,363,2,2411,2411,
Bowdon Junction,Carroll,1547,265,450,120,0,835,835,
Tyus,Carroll,1920,568,531,156,1,1256,1256,
Fairfield,Carroll,3867,906,1201,360,0,2467,2467,
Hulett,Carroll,2408,517,822,174,0,1513,1513,
Bethany,Carroll,4779,508,1312,335,1,2156,2156,
V R County South,Carroll,2942,329,1094,269,1,1693,1693,
V R County North,Carroll,5472,634,1793,435,0,2862,2862,
Villa Rica City,Carroll,7250,647,1982,560,0,3189,3189,
Temple County,Carroll,4354,695,1357,321,3,2376,2376,
Temple City,Carroll,3700,647,1016,258,3,1924,1924,
Whitesburg,Carroll,2190,557,593,160,0,1310,1310,
Roopville,Carroll,3200,667,1088,263,3,2021,2021,
West Carrollton,Carroll,4380,311,976,294,1,1582,1582,
Lakeshore Rec Center,Carroll,1671,131,524,150,1,806,806,
Bonner,Carroll,3736,292,1338,292,2,1924,1924,
University of W GA,Carroll,2164,217,653,166,2,1038,1038,
County Admin Bldg,Carroll,2620,216,953,239,1,1409,1409,
Tabernacle Church,Carroll,1628,143,571,210,0,924,924,
Burson Center,Carroll,1466,153,513,134,1,801,801,
Old Camp Church,Carroll,2297,396,855,212,2,1465,1465,
Oak Grove,Carroll,1668,314,548,123,0,985,985,
