Precinct,County,Registered Voters,Keith Hancock (I) (Rep)_Election Day Votes,Keith Hancock (I) (Rep)_Advanced Voting Votes,Keith Hancock (I) (Rep)_Absentee by Mail Votes,Keith Hancock (I) (Rep)_Provisional Votes,Keith Hancock (I) (Rep)_Choice Total,Total,
Kansas,Carroll,1165,447,271,94,0,812,812,
Bowdon,Carroll,3289,694,763,289,1,1747,1747,
Sandhill,Carroll,4459,580,1573,339,3,2495,2495,
Center Point,Carroll,1775,469,637,160,1,1267,1267,
Mt Zion,Carroll,2641,662,725,210,0,1597,1597,
Burwell,Carroll,1564,416,416,147,2,981,981,
Clem,Carroll,3695,508,1562,366,2,2438,2438,
Bowdon Junction,Carroll,1547,269,452,124,0,845,845,
Tyus,Carroll,1920,570,534,155,1,1260,1260,
Fairfield,Carroll,3867,913,1220,362,0,2495,2495,
Hulett,Carroll,2408,524,833,175,0,1532,1532,
Bethany,Carroll,4779,507,1331,341,1,2180,2180,
V R County South,Carroll,2942,332,1113,264,1,1710,1710,
V R County North,Carroll,5472,645,1822,431,0,2898,2898,
Villa Rica City,Carroll,7250,654,2006,564,0,3224,3224,
Temple County,Carroll,4354,704,1374,325,3,2406,2406,
Temple City,Carroll,3700,658,1028,254,3,1943,1943,
Whitesburg,Carroll,2190,561,599,164,0,1324,1324,
Roopville,Carroll,3200,670,1098,272,3,2043,2043,
West Carrollton,Carroll,4380,310,991,299,1,1601,1601,
Lakeshore Rec Center,Carroll,1671,131,525,152,1,809,809,
Bonner,Carroll,3736,293,1350,296,2,1941,1941,
University of W GA,Carroll,2164,217,659,166,2,1044,1044,
County Admin Bldg,Carroll,2620,214,955,245,1,1415,1415,
Tabernacle Church,Carroll,1628,142,572,216,0,930,930,
Burson Center,Carroll,1466,154,525,135,1,815,815,
Old Camp Church,Carroll,2297,399,872,224,2,1497,1497,
Oak Grove,Carroll,1668,310,547,126,0,983,983,
