Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Kiokee Baptist Church,Columbia,2541,342,883,203,0,1428,121,346,78,0,545,1973,
Lewis Methodist Church,Columbia,3737,423,1187,459,2,2071,120,423,170,0,713,2784,
Woodlawn Baptist Church,Columbia,1290,148,415,146,0,709,47,166,44,0,257,966,
Patriots Park,Columbia,4046,371,1446,394,0,2211,106,503,110,0,719,2930,
New Life Church,Columbia,4438,423,1446,440,3,2312,147,476,130,0,753,3065,
Harlem Branch Library,Columbia,2642,328,763,208,0,1299,93,287,95,2,477,1776,
Harlem Senior Center,Columbia,1819,297,481,156,0,934,105,183,80,0,368,1302,
Second Mt Moriah Baptist Church1027,Columbia,138,310,87,1,536,44,138,25,0,207,743,,
Bessie Thomas Center,Columbia,799,86,281,58,0,425,38,114,21,2,175,600,
Philadelphia Church,Columbia,2355,246,772,222,1,1241,77,237,78,0,392,1633,
Liberty Park-Grovetown,Columbia,3410,386,918,323,3,1630,116,308,113,1,538,2168,
Grovetown Methodist Church,Columbia,2736,326,603,261,5,1195,111,197,85,2,395,1590,
G A Apostolic Church,Columbia,1701,224,438,179,0,841,94,153,70,1,318,1159,
Grovetown Public Safety Station 23696,Columbia,348,1077,374,0,1799,109,334,142,1,586,2385,,
Grove First Baptist Church,Columbia,2954,254,886,264,1,1405,76,289,123,0,488,1893,
Eubank-Blanchard Center,Columbia,1576,336,403,105,1,845,108,169,42,0,319,1164,
Second Mt Carmel Baptist Church731,Columbia,148,142,60,0,350,54,59,38,0,151,501,,
Damascus Baptist Church,Columbia,1023,279,233,69,1,582,93,93,27,0,213,795,
Col Cty Bd of Edu,Columbia,2143,244,702,221,3,1170,68,256,83,0,407,1577,
Greenbrier High,Columbia,3369,461,1123,359,0,1943,115,401,122,0,638,2581,
Parkway Baptist Church,Columbia,4596,565,1621,440,1,2627,168,543,148,1,860,3487,
Riverview Church,Columbia,1320,151,450,156,0,757,52,162,69,0,283,1040,
Grace Baptist Church,Columbia,3558,409,1222,387,0,2018,118,386,109,0,613,2631,
Christ Sanctified,Columbia,2521,341,749,248,1,1339,104,260,82,0,446,1785,
Blanchard Park,Columbia,2026,252,507,210,2,971,85,181,84,0,350,1321,
Belair Baptist Church,Columbia,2440,351,678,280,0,1309,113,224,86,2,425,1734,
Marvin Methodist,Columbia,1937,353,409,245,0,1007,92,148,61,0,301,1308,
Westside Baptist Church,Columbia,1516,270,367,219,0,856,77,147,88,0,312,1168,
Trinity Baptist Church,Columbia,2836,416,723,313,2,1454,138,270,105,0,513,1967,
Abilene Baptist,Columbia,2046,288,491,223,0,1002,108,180,102,0,390,1392,
Augusta Christian,Columbia,2179,339,566,276,1,1182,102,175,95,0,372,1554,
Savannah Rapids Pavilion,Columbia,1549,121,521,315,0,957,46,199,106,0,351,1308,
Gospel Water Branch,Columbia,2096,250,681,274,1,1206,92,213,86,0,391,1597,
Genesis Church,Columbia,1830,241,521,236,1,999,71,186,105,0,362,1361,
Stevens Creek Church,Columbia,2760,341,905,375,0,1621,113,294,139,0,546,2167,
Mtz Col Fire Hdqtr,Columbia,1291,238,257,114,1,610,69,87,47,0,203,813,
Lakeside Middle,Columbia,1923,281,555,170,1,1007,77,171,56,0,304,1311,
Martinez Baptist,Columbia,1962,352,403,190,0,945,109,137,52,0,298,1243,
Gold Cross EMS,Columbia,1889,226,446,288,3,963,76,165,119,1,361,1324,
Church of Our Savior,Columbia,2310,364,532,277,2,1175,94,178,122,1,395,1570,
West Acres Baptist,Columbia,2424,299,752,275,0,1326,89,240,98,0,427,1753,
Journey Comm Church,Columbia,1268,139,440,154,1,734,46,156,62,1,265,999,
Wesley Methodist,Columbia,2434,333,793,275,0,1401,67,265,68,3,403,1804,
Col Cty Main Library,Columbia,2106,188,684,237,0,1109,61,257,69,1,388,1497,
Christ Church Presbyterian,Columbia,2081,278,693,229,2,1202,69,245,63,0,377,1579,
Blue Ridge Elementary,Columbia,2301,301,648,234,1,1184,95,223,72,0,390,1574,
Christ The King Luth Church,Columbia,2148,173,739,319,0,1231,68,238,118,1,425,1656,
