Precinct,County,Registered Voters,Gary Richardson (I) (Rep)_Election Day Votes,Gary Richardson (I) (Rep)_Advanced Voting Votes,Gary Richardson (I) (Rep)_Absentee by Mail Votes,Gary Richardson (I) (Rep)_Provisional Votes,Gary Richardson (I) (Rep)_Choice Total,Total,
Lewis Methodist Church,Columbia,3737,503,1407,433,2,2345,2345,
Patriots Park,Columbia,4046,447,1699,341,0,2487,2487,
New Life Church,Columbia,4438,493,1496,349,1,2339,2339,
Second Mt Carmel Baptist Church731,Columbia,158,175,56,0,389,389,,
Damascus Baptist Church,Columbia,1023,373,318,83,1,775,775,
Col Cty Bd of Edu,Columbia,2143,281,841,231,3,1356,1356,
Greenbrier High,Columbia,3369,571,1420,346,1,2338,2338,
Parkway Baptist Church,Columbia,4596,693,1877,426,3,2999,2999,
Riverview Church,Columbia,1320,188,550,156,0,894,894,
Grace Baptist Church,Columbia,3558,483,1357,314,0,2154,2154,
Christ Sanctified,Columbia,2521,416,901,255,0,1572,1572,
West Acres Baptist,Columbia,2424,360,902,282,1,1545,1545,
