Precinct,County,Registered Voters,Vernon W. Collins (I) (Rep)_Election Day Votes,Vernon W. Collins (I) (Rep)_Advanced Voting Votes,Vernon W. Collins (I) (Rep)_Absentee by Mail Votes,Vernon W. Collins (I) (Rep)_Provisional Votes,Vernon W. Collins (I) (Rep)_Choice Total,Total,
Kiokee Baptist Church,Columbia,2541,474,1211,226,0,1911,1911,
Lewis Methodist Church,Columbia,3737,505,1420,444,2,2371,2371,
Woodlawn Baptist Church,Columbia,1290,187,539,164,0,890,890,
Patriots Park,Columbia,4046,451,1714,355,0,2520,2520,
New Life Church,Columbia,4438,499,1514,348,1,2362,2362,
Harlem Branch Library,Columbia,2642,414,996,246,2,1658,1658,
Harlem Senior Center,Columbia,1819,384,595,167,0,1146,1146,
Second Mt Moriah Baptist Church1027,Columbia,180,443,91,1,715,715,,
Bessie Thomas Center,Columbia,799,120,388,71,2,581,581,
Philadelphia Church,Columbia,2355,291,861,210,1,1363,1363,
Liberty Park-Grovetown,Columbia,3410,434,1019,275,3,1731,1731,
Grovetown Methodist Church,Columbia,2736,362,616,229,6,1213,1213,
G A Apostolic Church,Columbia,1701,291,515,192,1,999,999,
Grovetown Public Safety Station 23696,Columbia,386,1127,343,1,1857,1857,,
Grove First Baptist Church,Columbia,2954,275,902,247,1,1425,1425,
Eubank-Blanchard Center,Columbia,1576,427,547,105,1,1080,1080,
Second Mt Carmel Baptist Church731,Columbia,160,178,58,0,396,396,,
Damascus Baptist Church,Columbia,1023,376,319,83,1,779,779,
Col Cty Bd of Edu,Columbia,2143,283,851,240,3,1377,1377,
Greenbrier High,Columbia,3369,575,1438,347,1,2361,2361,
Parkway Baptist Church,Columbia,4596,692,1904,441,2,3039,3039,
Riverview Church,Columbia,1320,188,550,160,0,898,898,
Grace Baptist Church,Columbia,3558,488,1371,318,0,2177,2177,
Christ Sanctified,Columbia,2521,416,904,256,1,1577,1577,
Blanchard Park,Columbia,2026,307,590,217,2,1116,1116,
Belair Baptist Church,Columbia,2440,437,771,262,2,1472,1472,
Marvin Methodist,Columbia,1937,414,498,212,0,1124,1124,
Westside Baptist Church,Columbia,1516,337,474,242,0,1053,1053,
Trinity Baptist Church,Columbia,2836,529,923,340,3,1795,1795,
Abilene Baptist,Columbia,2046,378,612,245,0,1235,1235,
Augusta Christian,Columbia,2179,401,661,288,1,1351,1351,
Savannah Rapids Pavilion,Columbia,1549,161,699,364,0,1224,1224,
Gospel Water Branch,Columbia,2096,309,805,276,2,1392,1392,
Genesis Church,Columbia,1830,295,657,265,0,1217,1217,
Stevens Creek Church,Columbia,2760,434,1117,403,1,1955,1955,
Mtz Col Fire Hdqtr,Columbia,1291,270,306,116,1,693,693,
Lakeside Middle,Columbia,1923,338,637,176,1,1152,1152,
Martinez Baptist,Columbia,1962,423,457,185,0,1065,1065,
Gold Cross EMS,Columbia,1889,275,569,345,4,1193,1193,
Church of Our Savior,Columbia,2310,411,632,285,4,1332,1332,
West Acres Baptist,Columbia,2424,363,912,286,1,1562,1562,
Journey Comm Church,Columbia,1268,182,574,179,3,938,938,
Wesley Methodist,Columbia,2434,392,1002,265,3,1662,1662,
Col Cty Main Library,Columbia,2106,233,854,212,1,1300,1300,
Christ Church Presbyterian,Columbia,2081,336,869,220,2,1427,1427,
Blue Ridge Elementary,Columbia,2301,373,781,227,1,1382,1382,
Christ The King Luth Church,Columbia,2148,230,899,331,1,1461,1461,
