Precinct,County,Registered Voters,Natalie Paine (I) (Rep)_Election Day Votes,Natalie Paine (I) (Rep)_Advanced Voting Votes,Natalie Paine (I) (Rep)_Absentee by Mail Votes,Natalie Paine (I) (Rep)_Provisional Votes,Natalie Paine (I) (Rep)_Choice Total,Jared T. Williams (Dem)_Election Day Votes,Jared T. Williams (Dem)_Advanced Voting Votes,Jared T. Williams (Dem)_Absentee by Mail Votes,Jared T. Williams (Dem)_Provisional Votes,Jared T. Williams (Dem)_Choice Total,Total,
Kiokee Baptist Church,Columbia,2541,452,1139,197,0,1788,45,136,96,0,277,2065,
Lewis Methodist Church,Columbia,3737,439,1121,295,1,1856,117,534,346,1,998,2854,
Woodlawn Baptist Church,Columbia,1290,166,448,120,0,734,36,146,80,0,262,996,
Patriots Park,Columbia,4046,367,1381,208,0,1956,126,639,315,0,1080,3036,
New Life Church,Columbia,4438,352,972,196,1,1521,229,989,391,2,1611,3132,
Harlem Branch Library,Columbia,2642,364,872,192,2,1430,76,233,117,0,426,1856,
Harlem Senior Center,Columbia,1819,314,473,79,0,866,111,221,168,0,500,1366,
Second Mt Moriah Baptist Church1027,Columbia,168,404,76,1,649,21,73,43,0,137,786,,
Bessie Thomas Center,Columbia,799,109,368,64,2,543,13,42,17,0,72,615,
Philadelphia Church,Columbia,2355,221,642,131,1,995,113,404,180,0,697,1692,
Liberty Park-Grovetown,Columbia,3410,297,663,138,2,1100,209,595,316,2,1122,2222,
Grovetown Methodist Church,Columbia,2736,203,319,122,1,645,245,503,246,6,1000,1645,
G A Apostolic Church,Columbia,1701,246,376,130,0,752,79,239,132,1,451,1203,
Grovetown Public Safety Station 23696,Columbia,259,687,160,1,1107,210,759,378,0,1347,2454,,
Grove First Baptist Church,Columbia,2954,187,550,91,1,829,152,649,308,0,1109,1938,
Eubank-Blanchard Center,Columbia,1576,385,495,79,1,960,76,102,75,0,253,1213,
Second Mt Carmel Baptist Church731,Columbia,99,138,25,0,262,126,74,83,0,283,545,,
Damascus Baptist Church,Columbia,1023,352,294,73,1,720,36,41,25,0,102,822,
Col Cty Bd of Edu,Columbia,2143,230,716,161,3,1110,91,272,157,0,520,1630,
Greenbrier High,Columbia,3369,508,1232,245,1,1986,89,346,245,0,680,2666,
Parkway Baptist Church,Columbia,4596,605,1528,283,2,2418,150,711,327,1,1189,3607,
Riverview Church,Columbia,1320,159,466,108,0,733,50,162,122,0,334,1067,
Grace Baptist Church,Columbia,3558,425,1022,187,0,1634,125,617,328,0,1070,2704,
Christ Sanctified,Columbia,2521,347,763,189,1,1300,108,266,166,0,540,1840,
Blanchard Park,Columbia,2026,242,430,157,2,831,111,281,166,0,558,1389,
Belair Baptist Church,Columbia,2440,350,608,183,1,1142,126,316,198,1,641,1783,
Marvin Methodist,Columbia,1937,339,396,153,0,888,122,179,172,0,473,1361,
Westside Baptist Church,Columbia,1516,286,417,194,0,897,71,113,124,0,308,1205,
Trinity Baptist Church,Columbia,2836,459,789,278,2,1528,114,235,166,1,516,2044,
Abilene Baptist,Columbia,2046,312,506,180,0,998,91,188,151,0,430,1428,
Augusta Christian,Columbia,2179,321,543,197,1,1062,126,225,183,0,534,1596,
Savannah Rapids Pavilion,Columbia,1549,141,629,285,0,1055,30,120,158,0,308,1363,
Gospel Water Branch,Columbia,2096,267,676,169,2,1114,80,250,206,1,537,1651,
Genesis Church,Columbia,1830,256,559,195,0,1010,71,174,159,1,405,1415,
Stevens Creek Church,Columbia,2760,402,974,305,1,1682,74,284,244,0,602,2284,
Mtz Col Fire Hdqtr,Columbia,1291,205,239,80,0,524,107,114,83,1,305,829,
Lakeside Middle,Columbia,1923,269,516,108,0,893,103,224,133,1,461,1354,
Martinez Baptist,Columbia,1962,340,348,123,0,811,142,215,136,0,493,1304,
Gold Cross EMS,Columbia,1889,239,483,318,3,1043,66,144,113,1,324,1367,
Church of Our Savior,Columbia,2310,323,494,207,2,1026,151,243,214,2,610,1636,
West Acres Baptist,Columbia,2424,308,763,180,1,1252,92,257,199,0,548,1800,
Journey Comm Church,Columbia,1268,167,516,158,3,844,34,103,77,0,214,1058,
Wesley Methodist,Columbia,2434,334,833,209,3,1379,90,278,147,1,516,1895,
Col Cty Main Library,Columbia,2106,204,699,158,0,1061,56,268,160,1,485,1546,
Christ Church Presbyterian,Columbia,2081,293,766,159,1,1219,61,219,147,1,428,1647,
Blue Ridge Elementary,Columbia,2301,284,629,162,0,1075,133,272,157,1,563,1638,
Christ The King Luth Church,Columbia,2148,202,777,261,1,1241,48,237,197,0,482,1723,
