Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
Kiokee Baptist Church,Columbia,2541,443,1121,182,0,1746,34,123,90,0,247,14,19,14,0,47,2040,
Lewis Methodist Church,Columbia,3737,405,1086,276,1,1768,112,513,334,1,960,33,48,24,0,105,2833,
Woodlawn Baptist Church,Columbia,1290,162,449,112,0,723,27,131,85,0,243,12,12,4,0,28,994,
Patriots Park,Columbia,4046,355,1321,185,0,1861,107,608,314,0,1029,30,70,20,0,120,3010,
New Life Church,Columbia,4438,321,957,186,0,1464,198,938,394,3,1533,56,55,14,0,125,3122,
Harlem Branch Library,Columbia,2642,344,849,166,2,1361,73,214,129,0,416,23,25,6,0,54,1831,
Harlem Senior Center,Columbia,1819,298,446,71,0,815,105,220,172,0,497,19,25,3,0,47,1359,
Second Mt Moriah Baptist Church1027,Columbia,154,387,63,1,605,17,66,48,0,131,14,18,7,0,39,775,,
Bessie Thomas Center,Columbia,799,107,352,58,2,519,10,48,20,0,78,4,9,1,0,14,611,
Philadelphia Church,Columbia,2355,206,614,116,1,937,101,374,177,0,652,23,48,13,0,84,1673,
Liberty Park-Grovetown,Columbia,3410,277,624,135,2,1038,190,575,293,2,1060,31,53,19,0,103,2201,
