Precinct,County,Registered Voters,Gene Hair (I)_Election Day Votes,Gene Hair (I)_Advanced Voting Votes,Gene Hair (I)_Absentee by Mail Votes,Gene Hair (I)_Provisional Votes,Gene Hair (I)_Choice Total,Total,
Kiokee Baptist Church,Columbia,2541,451,1176,229,0,1856,1856,
Lewis Methodist Church,Columbia,3737,492,1404,470,2,2368,2368,
Woodlawn Baptist Church,Columbia,1290,179,532,168,0,879,879,
Patriots Park,Columbia,4046,442,1701,378,0,2521,2521,
New Life Church,Columbia,4438,495,1538,377,2,2412,2412,
Harlem Branch Library,Columbia,2642,395,956,245,2,1598,1598,
Harlem Senior Center,Columbia,1819,381,583,171,0,1135,1135,
Second Mt Moriah Baptist Church1027,Columbia,178,424,94,1,697,697,,
Bessie Thomas Center,Columbia,799,116,380,69,2,567,567,
Philadelphia Church,Columbia,2355,279,868,216,1,1364,1364,
Liberty Park-Grovetown,Columbia,3410,424,1010,308,3,1745,1745,
Grovetown Methodist Church,Columbia,2736,363,643,242,7,1255,1255,
G A Apostolic Church,Columbia,1701,287,507,205,1,1000,1000,
Grovetown Public Safety Station 23696,Columbia,382,1143,374,1,1900,1900,,
Grove First Baptist Church,Columbia,2954,274,924,279,1,1478,1478,
Eubank-Blanchard Center,Columbia,1576,408,535,106,1,1050,1050,
Second Mt Carmel Baptist Church731,Columbia,162,174,62,0,398,398,,
Damascus Baptist Church,Columbia,1023,363,313,81,1,758,758,
Col Cty Bd of Edu,Columbia,2143,276,831,244,3,1354,1354,
Greenbrier High,Columbia,3369,564,1413,354,1,2332,2332,
Parkway Baptist Church,Columbia,4596,677,1911,453,2,3043,3043,
Riverview Church,Columbia,1320,181,544,162,0,887,887,
Grace Baptist Church,Columbia,3558,470,1369,341,0,2180,2180,
Christ Sanctified,Columbia,2521,405,901,263,1,1570,1570,
Blanchard Park,Columbia,2026,306,606,230,2,1144,1144,
Belair Baptist Church,Columbia,2440,420,768,271,2,1461,1461,
Marvin Methodist,Columbia,1937,409,494,230,0,1133,1133,
Westside Baptist Church,Columbia,1516,330,464,241,0,1035,1035,
Trinity Baptist Church,Columbia,2836,515,902,350,3,1770,1770,
Abilene Baptist,Columbia,2046,367,602,266,0,1235,1235,
Augusta Christian,Columbia,2179,391,661,297,1,1350,1350,
Savannah Rapids Pavilion,Columbia,1549,152,664,360,0,1176,1176,
Gospel Water Branch,Columbia,2096,301,788,284,2,1375,1375,
Genesis Church,Columbia,1830,291,645,283,0,1219,1219,
Stevens Creek Church,Columbia,2760,423,1095,414,1,1933,1933,
Mtz Col Fire Hdqtr,Columbia,1291,269,306,122,1,698,698,
Lakeside Middle,Columbia,1923,337,623,178,1,1139,1139,
Martinez Baptist,Columbia,1962,411,463,186,0,1060,1060,
Gold Cross EMS,Columbia,1889,271,549,354,4,1178,1178,
Church of Our Savior,Columbia,2310,410,616,286,3,1315,1315,
West Acres Baptist,Columbia,2424,352,912,291,1,1556,1556,
Journey Comm Church,Columbia,1268,169,559,177,3,908,908,
Wesley Methodist,Columbia,2434,374,966,278,3,1621,1621,
Col Cty Main Library,Columbia,2106,224,838,216,1,1279,1279,
Christ Church Presbyterian,Columbia,2081,323,844,236,2,1405,1405,
Blue Ridge Elementary,Columbia,2301,363,770,237,1,1371,1371,
Christ The King Luth Church,Columbia,2148,219,857,343,1,1420,1420,
