Precinct,County,Registered Voters,Jason R. Troiano (I) (Rep)_Election Day Votes,Jason R. Troiano (I) (Rep)_Advanced Voting Votes,Jason R. Troiano (I) (Rep)_Absentee by Mail Votes,Jason R. Troiano (I) (Rep)_Provisional Votes,Jason R. Troiano (I) (Rep)_Choice Total,Total,
Kiokee Baptist Church,Columbia,2541,465,1197,224,0,1886,1886,
Lewis Methodist Church,Columbia,3737,502,1404,434,2,2342,2342,
Woodlawn Baptist Church,Columbia,1290,188,536,163,0,887,887,
Patriots Park,Columbia,4046,448,1702,341,0,2491,2491,
New Life Church,Columbia,4438,495,1497,348,1,2341,2341,
Harlem Branch Library,Columbia,2642,410,988,240,2,1640,1640,
Harlem Senior Center,Columbia,1819,379,588,158,0,1125,1125,
Second Mt Moriah Baptist Church1027,Columbia,179,442,91,1,713,713,,
Bessie Thomas Center,Columbia,799,120,382,70,2,574,574,
Philadelphia Church,Columbia,2355,289,853,206,1,1349,1349,
Liberty Park-Grovetown,Columbia,3410,430,1002,275,2,1709,1709,
Grovetown Methodist Church,Columbia,2736,359,609,219,6,1193,1193,
G A Apostolic Church,Columbia,1701,291,511,189,0,991,991,
Grovetown Public Safety Station 23696,Columbia,384,1111,335,1,1831,1831,,
Grove First Baptist Church,Columbia,2954,273,885,235,1,1394,1394,
Eubank-Blanchard Center,Columbia,1576,422,544,102,1,1069,1069,
Second Mt Carmel Baptist Church731,Columbia,157,173,57,0,387,387,,
Damascus Baptist Church,Columbia,1023,376,319,81,1,777,777,
Col Cty Bd of Edu,Columbia,2143,278,842,238,3,1361,1361,
Greenbrier High,Columbia,3369,572,1429,339,1,2341,2341,
Parkway Baptist Church,Columbia,4596,691,1893,428,3,3015,3015,
Riverview Church,Columbia,1320,188,551,157,0,896,896,
Grace Baptist Church,Columbia,3558,487,1356,319,0,2162,2162,
Christ Sanctified,Columbia,2521,412,896,251,1,1560,1560,
Blanchard Park,Columbia,2026,303,586,217,2,1108,1108,
Belair Baptist Church,Columbia,2440,435,768,254,2,1459,1459,
Marvin Methodist,Columbia,1937,412,495,214,0,1121,1121,
Westside Baptist Church,Columbia,1516,338,473,238,0,1049,1049,
Trinity Baptist Church,Columbia,2836,522,912,337,3,1774,1774,
Abilene Baptist,Columbia,2046,375,604,237,0,1216,1216,
Augusta Christian,Columbia,2179,398,650,280,1,1329,1329,
Savannah Rapids Pavilion,Columbia,1549,161,693,357,0,1211,1211,
Gospel Water Branch,Columbia,2096,304,797,271,2,1374,1374,
Genesis Church,Columbia,1830,295,654,264,0,1213,1213,
Stevens Creek Church,Columbia,2760,431,1109,395,1,1936,1936,
Mtz Col Fire Hdqtr,Columbia,1291,267,302,119,1,689,689,
Lakeside Middle,Columbia,1923,335,633,167,1,1136,1136,
Martinez Baptist,Columbia,1962,422,453,183,0,1058,1058,
Gold Cross EMS,Columbia,1889,272,559,344,4,1179,1179,
Church of Our Savior,Columbia,2310,408,623,275,4,1310,1310,
West Acres Baptist,Columbia,2424,360,905,281,1,1547,1547,
Journey Comm Church,Columbia,1268,181,564,174,3,922,922,
Wesley Methodist,Columbia,2434,388,997,262,3,1650,1650,
Col Cty Main Library,Columbia,2106,233,847,210,1,1291,1291,
Christ Church Presbyterian,Columbia,2081,334,862,214,2,1412,1412,
Blue Ridge Elementary,Columbia,2301,370,774,226,1,1371,1371,
Christ The King Luth Church,Columbia,2148,225,887,324,1,1437,1437,
