Precinct,County,Registered Voters,Tamela Cooper (Rep)_Election Day Votes,Tamela Cooper (Rep)_Advanced Voting Votes,Tamela Cooper (Rep)_Absentee by Mail Votes,Tamela Cooper (Rep)_Provisional Votes,Tamela Cooper (Rep)_Choice Total,Total,
Young Harris,Towns,3323,402,1272,486,1,2161,2161,
Macedonia,Towns,3828,346,1568,520,2,2436,2436,
Hiawassee,Towns,3542,288,1525,521,4,2338,2338,
