index,County,Precinct,Registered Voters,Pam Stephenson (I) (Dem)_Election Day Votes,Pam Stephenson (I) (Dem)_Advanced Voting Votes,Pam Stephenson (I) (Dem)_Absentee by Mail Votes,Pam Stephenson (I) (Dem)_Provisional Votes,Pam Stephenson (I) (Dem)_Choice Total,Total,
0,DeKalb,Browns Mill Elem,3829,314,1461,872,3,2650,2650,
1,DeKalb,Bethune Middle,4838,335,1365,971,10,2681,2681,
2,DeKalb,Canby Lane Elem,2004,218,535,435,3,1191,1191,
3,DeKalb,Kelley Chapel Road,1337,123,463,319,1,906,906,
4,DeKalb,Miller Grove Road,2151,184,739,500,1,1424,1424,
5,DeKalb,Rainbow Elem,3768,263,1190,836,5,2294,2294,
6,DeKalb,Salem Middle,3519,220,1382,819,3,2424,2424,
7,DeKalb,Snapfinger Road S,1960,156,716,433,0,1305,1305,
8,DeKalb,Wesley Chapel Library,2922,196,1098,704,5,2003,2003,
