index,County,Precinct,Registered Voters,Gloria S. Butler (I) (Dem)_Election Day Votes,Gloria S. Butler (I) (Dem)_Advanced Voting Votes,Gloria S. Butler (I) (Dem)_Absentee by Mail Votes,Gloria S. Butler (I) (Dem)_Provisional Votes,Gloria S. Butler (I) (Dem)_Choice Total,Total,
0,DeKalb,Austin Drive,2536,206,634,438,10,1288,1288,
1,DeKalb,Crossroads,2898,246,867,627,3,1743,1743,
2,DeKalb,Glenhaven,1880,220,482,316,2,1020,1020,
3,DeKalb,Glenwood Road,2293,198,542,396,3,1139,1139,
4,DeKalb,Miller-Eldridge L Miller Elem 3455,306,944,699,3,1952,1952,,
5,DeKalb,Marbut Elem,4234,321,1405,627,14,2367,2367,
6,DeKalb,Miller Grove,4747,1,7,2,2,12,12,
7,DeKalb,Princeton Elem,2376,162,844,443,1,1450,1450,
8,DeKalb,Panola,1586,136,472,321,2,931,931,
9,DeKalb,Panola Way Elem,2252,201,579,317,17,1114,1114,
10,DeKalb,Panola Road,2884,18,133,81,0,232,232,
11,DeKalb,Redan Elem,3020,202,1141,589,5,1937,1937,
12,DeKalb,Rock Chapel Elem,2910,214,1109,514,5,1842,1842,
13,DeKalb,Redan-Trotti Library,3990,270,1270,742,16,2298,2298,
14,DeKalb,Rockbridge Road,3965,299,1469,958,8,2734,2734,
15,DeKalb,Redan Road,2932,228,900,506,10,1644,1644,
16,DeKalb,Redan Middle,2496,153,862,512,3,1530,1530,
17,DeKalb,Shadow Rock Elem,4347,288,1559,1021,8,2876,2876,
18,DeKalb,South Deshon,3470,257,1262,627,8,2154,2154,
19,DeKalb,Stephenson Middle,3822,296,1397,777,0,2470,2470,
20,DeKalb,Stephenson High,3555,254,1193,800,6,2253,2253,
21,DeKalb,Woodridge Elem,3851,320,1022,737,9,2088,2088,
22,DeKalb,White Oak,2951,307,721,425,2,1455,1455,
23,DeKalb,Young Road,1951,104,765,426,4,1299,1299,
