index,County,Precinct,Registered Voters,Doreen Carter (I) (Dem)_Election Day Votes,Doreen Carter (I) (Dem)_Advanced Voting Votes,Doreen Carter (I) (Dem)_Absentee by Mail Votes,Doreen Carter (I) (Dem)_Provisional Votes,Doreen Carter (I) (Dem)_Choice Total,Total,
0,DeKalb,Lithonia,1730,237,394,227,0,858,858,
1,DeKalb,Lithonia High,3610,347,1084,535,10,1976,1976,
2,DeKalb,McWilliams,2517,152,979,560,3,1694,1694,
3,DeKalb,Miller Grove,4747,345,1387,692,4,2428,2428,
4,DeKalb,Miller Grove High,3470,281,976,440,4,1701,1701,
5,DeKalb,Panola Road,2884,171,884,486,2,1543,1543,
6,DeKalb,Stoneview Elem,1988,166,495,242,4,907,907,
