index,County,Precinct,Registered Voters,Karen Bennett (I) (Dem)_Election Day Votes,Karen Bennett (I) (Dem)_Advanced Voting Votes,Karen Bennett (I) (Dem)_Absentee by Mail Votes,Karen Bennett (I) (Dem)_Provisional Votes,Karen Bennett (I) (Dem)_Choice Total,Total,
0,DeKalb,Marbut Elem,4234,325,1416,633,10,2384,2384,
1,DeKalb,Princeton Elem,2376,165,847,446,0,1458,1458,
2,DeKalb,Panola Road,2884,19,138,83,0,240,240,
3,DeKalb,Redan Elem,3020,206,1156,584,3,1949,1949,
4,DeKalb,Redan-Trotti Library,3990,274,1270,747,14,2305,2305,
5,DeKalb,Redan Road,2932,229,903,512,1,1645,1645,
6,DeKalb,Stephenson Middle,3822,301,1402,780,0,2483,2483,
7,DeKalb,Wynbrooke Elem,3496,289,1325,824,6,2444,2444,
