Precinct,County,Registered Voters,Stacy L. Nicholson (I) (Rep)_Election Day Votes,Stacy L. Nicholson (I) (Rep)_Advanced Voting Votes,Stacy L. Nicholson (I) (Rep)_Absentee by Mail Votes,Stacy L. Nicholson (I) (Rep)_Provisional Votes,Stacy L. Nicholson (I) (Rep)_Choice Total,Total,
Ellijay South,Gilmer,3172,387,1161,403,2,1953,1953,
Cartecay,Gilmer,1598,399,475,201,2,1077,1077,
Tails Creek,Gilmer,1782,461,466,152,0,1079,1079,
Town Creek,Gilmer,1234,321,334,107,0,762,762,
Leaches,Gilmer,2939,554,984,354,1,1893,1893,
Cherry Log,Gilmer,926,265,238,124,0,627,627,
Boardtown,Gilmer,1391,300,516,210,3,1029,1029,
Mountaintown,Gilmer,1139,283,374,132,1,790,790,
East Ellijay,Gilmer,1655,255,646,219,0,1120,1120,
Ellijay North,Gilmer,1810,294,613,211,1,1119,1119,
Yukon,Gilmer,1288,359,357,124,0,840,840,
Big Creek,Gilmer,1479,358,401,189,0,948,948,
Ellijay Northeast,Gilmer,1851,236,710,230,0,1176,1176,
