Precinct,County,Registered Voters,Jeffrey T. Vick (I) (Rep)_Election Day Votes,Jeffrey T. Vick (I) (Rep)_Advanced Voting Votes,Jeffrey T. Vick (I) (Rep)_Absentee by Mail Votes,Jeffrey T. Vick (I) (Rep)_Provisional Votes,Jeffrey T. Vick (I) (Rep)_Choice Total,Total,
Ellijay South,Gilmer,3172,390,1172,389,2,1953,1953,
Cartecay,Gilmer,1598,412,487,205,2,1106,1106,
Tails Creek,Gilmer,1782,467,477,145,0,1089,1089,
Town Creek,Gilmer,1234,319,334,108,0,761,761,
Leaches,Gilmer,2939,545,974,343,2,1864,1864,
Cherry Log,Gilmer,926,260,237,117,0,614,614,
Boardtown,Gilmer,1391,289,510,206,3,1008,1008,
Mountaintown,Gilmer,1139,277,368,130,1,776,776,
East Ellijay,Gilmer,1655,241,643,216,0,1100,1100,
Ellijay North,Gilmer,1810,280,608,208,1,1097,1097,
Yukon,Gilmer,1288,355,359,124,0,838,838,
Big Creek,Gilmer,1479,372,409,196,0,977,977,
Ellijay Northeast,Gilmer,1851,234,711,229,0,1174,1174,
