Precinct,County,Registered Voters,Justin D. Franklin (I) (Rep)_Election Day Votes,Justin D. Franklin (I) (Rep)_Advanced Voting Votes,Justin D. Franklin (I) (Rep)_Absentee by Mail Votes,Justin D. Franklin (I) (Rep)_Provisional Votes,Justin D. Franklin (I) (Rep)_Choice Total,Total,
15361 Lyons,Toombs,0,384,1199,334,0,1917,1917,
39 Newbranch,Toombs,0,327,497,125,0,949,949,
43 Cedar Crossing,Toombs,0,352,440,112,0,904,904,
513 VPD,Toombs,0,613,1982,659,3,3257,3257,
514 STIALC,Toombs,0,419,1230,390,3,2042,2042,
