Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
15361 Lyons,Toombs,0,288,871,265,1,1425,128,391,129,0,648,2073,
39 Newbranch,Toombs,0,221,348,94,0,663,92,151,66,0,309,972,
43 Cedar Crossing,Toombs,0,226,283,81,0,590,121,154,37,0,312,902,
513 VPD,Toombs,0,495,1524,581,3,2603,184,644,278,1,1107,3710,
514 STIALC,Toombs,0,326,951,363,1,1641,160,404,165,1,730,2371,
