Precinct,County,Registered Voters,Brenda Williams (I) (Rep)_Election Day Votes,Brenda Williams (I) (Rep)_Advanced Voting Votes,Brenda Williams (I) (Rep)_Absentee by Mail Votes,Brenda Williams (I) (Rep)_Provisional Votes,Brenda Williams (I) (Rep)_Choice Total,Total,
15361 Lyons,Toombs,0,397,1232,346,1,1976,1976,
39 Newbranch,Toombs,0,332,509,133,0,974,974,
43 Cedar Crossing,Toombs,0,349,439,112,0,900,900,
513 VPD,Toombs,0,626,2047,700,4,3377,3377,
514 STIALC,Toombs,0,436,1253,416,3,2108,2108,
