Precinct,County,Registered Voters,Lewis T. Deweese (I) (Rep)_Election Day Votes,Lewis T. Deweese (I) (Rep)_Advanced Voting Votes,Lewis T. Deweese (I) (Rep)_Absentee by Mail Votes,Lewis T. Deweese (I) (Rep)_Provisional Votes,Lewis T. Deweese (I) (Rep)_Choice Total,Kathy Smyth (Dem)_Election Day Votes,Kathy Smyth (Dem)_Advanced Voting Votes,Kathy Smyth (Dem)_Absentee by Mail Votes,Kathy Smyth (Dem)_Provisional Votes,Kathy Smyth (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Colwell,Fannin,1105.0,281.0,293.0,118.0,0.0,692.0,23.0,48.0,81.0,0.0,152.0,844.0,76.4,692.0,152.0
Fairplay,Fannin,1262.0,300.0,304.0,110.0,0.0,714.0,35.0,67.0,60.0,0.0,162.0,876.0,69.4,714.0,162.0
Flinthill,Fannin,3202.0,620.0,772.0,337.0,2.0,1731.0,76.0,97.0,124.0,0.0,297.0,2028.0,63.3,1731.0,297.0
Hemptown,Fannin,1336.0,334.0,318.0,121.0,3.0,776.0,32.0,67.0,69.0,0.0,168.0,944.0,70.7,776.0,168.0
Hothouse,Fannin,1290.0,264.0,357.0,126.0,6.0,753.0,16.0,69.0,82.0,0.0,167.0,920.0,71.3,753.0,167.0
Mineral Bluff,Fannin,1817.0,329.0,574.0,213.0,0.0,1116.0,32.0,83.0,108.0,0.0,223.0,1339.0,73.7,1116.0,223.0
Mobile,Fannin,1160.0,296.0,275.0,123.0,0.0,694.0,32.0,41.0,44.0,0.0,117.0,811.0,69.9,694.0,117.0
Morganton,Fannin,2067.0,454.0,560.0,234.0,2.0,1250.0,44.0,109.0,99.0,0.0,252.0,1502.0,72.7,1250.0,252.0
Noontootla,Fannin,839.0,170.0,223.0,122.0,0.0,515.0,25.0,47.0,58.0,0.0,130.0,645.0,76.9,515.0,130.0
Skeniah,Fannin,331.0,111.0,58.0,41.0,1.0,211.0,9.0,17.0,23.0,1.0,50.0,261.0,78.9,211.0,50.0
Sugar Creek,Fannin,2437.0,375.0,767.0,259.0,0.0,1401.0,34.0,149.0,147.0,1.0,331.0,1732.0,71.1,1401.0,331.0
Toccoa,Fannin,3553.0,470.0,1082.0,401.0,4.0,1957.0,59.0,222.0,177.0,0.0,458.0,2415.0,68.0,1957.0,458.0
