Precinct,County,Registered Voters,Jerry G. Legg (I)_Election Day Votes,Jerry G. Legg (I)_Advanced Voting Votes,Jerry G. Legg (I)_Absentee by Mail Votes,Jerry G. Legg (I)_Provisional Votes,Jerry G. Legg (I)_Choice Total,Total,calc_participation,Ind_total
Central Jackson,Jackson,16263.0,50.0,268.0,77.0,0.0,395.0,395.0,2.4,395.0
North Jackson,Jackson,12699.0,192.0,843.0,235.0,0.0,1270.0,1270.0,10.0,1270.0
